Files already downloaded and verified
Files already downloaded and verified
[(0, 3), (1, 3), (2, 2), (3, 2)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch  86, time= 10.3s | Train: skip eval | Valid: time=  6.2s loss=0.255, TAw acc= 91.1% | lr=1.4e-04
| Epoch  87, time= 10.4s | Train: skip eval | Valid: time=  6.1s loss=0.259, TAw acc= 90.5% |
| Epoch  88, time= 10.4s | Train: skip eval | Valid: time=  6.2s loss=0.256, TAw acc= 90.6% |
| Epoch  89, time= 10.4s | Train: skip eval | Valid: time=  6.1s loss=0.255, TAw acc= 90.7% |
| Epoch  90, time= 10.4s | Train: skip eval | Valid: time=  6.2s loss=0.256, TAw acc= 90.6% |
| Epoch  91, time= 10.4s | Train: skip eval | Valid: time=  6.1s loss=0.256, TAw acc= 90.3% | lr=4.6e-05
| Selected 300 train exemplars, time=  0.0s
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=0.246 | TAw acc= 90.9%, forg=  0.0%| TAg acc= 90.9%, forg=  0.0% <<<
Save at C:\Users\Erik\Desktop\hopp\cifar10_icarl
************************************************************************************************************
Task  1
************************************************************************************************************
| Epoch   1, time= 11.9s | Train: skip eval | Valid: time=  6.4s loss=2.057, TAw acc= 77.3% | *
| Epoch   2, time= 11.9s | Train: skip eval | Valid: time=  6.3s loss=2.051, TAw acc= 74.3% | *
| Epoch   3, time= 11.9s | Train: skip eval | Valid: time=  6.3s loss=1.826, TAw acc= 84.1% | *
| Epoch   4, time= 12.0s | Train: skip eval | Valid: time=  6.3s loss=1.632, TAw acc= 85.2% | *
| Epoch   5, time= 11.9s | Train: skip eval | Valid: time=  6.4s loss=1.712, TAw acc= 82.5% |
| Epoch   6, time= 12.0s | Train: skip eval | Valid: time=  6.3s loss=1.518, TAw acc= 88.7% | *
| Epoch   7, time= 11.9s | Train: skip eval | Valid: time=  6.3s loss=1.521, TAw acc= 88.3% |
| Epoch   8, time= 12.1s | Train: skip eval | Valid: time=  6.3s loss=1.634, TAw acc= 85.4% |
| Epoch   9, time= 12.0s | Train: skip eval | Valid: time=  6.4s loss=1.614, TAw acc= 87.4% |
| Epoch  10, time= 12.0s | Train: skip eval | Valid: time=  6.3s loss=1.568, TAw acc= 87.2% |
| Epoch  11, time= 12.0s | Train: skip eval | Valid: time=  6.3s loss=1.890, TAw acc= 81.8% | lr=3.3e-02
| Epoch  12, time= 11.9s | Train: skip eval | Valid: time=  6.4s loss=1.455, TAw acc= 89.6% | *
| Epoch  13, time= 12.0s | Train: skip eval | Valid: time=  6.4s loss=1.536, TAw acc= 87.4% |
| Epoch  14, time= 12.0s | Train: skip eval | Valid: time=  6.3s loss=1.468, TAw acc= 89.5% |
| Epoch  15, time= 12.0s | Train: skip eval | Valid: time=  6.4s loss=1.433, TAw acc= 90.3% | *
| Epoch  16, time= 12.0s | Train: skip eval | Valid: time=  6.4s loss=1.472, TAw acc= 88.5% |
| Epoch  17, time= 12.0s | Train: skip eval | Valid: time=  6.3s loss=1.433, TAw acc= 89.9% |
| Epoch  18, time= 11.9s | Train: skip eval | Valid: time=  6.2s loss=1.439, TAw acc= 91.1% |
| Epoch  19, time= 12.0s | Train: skip eval | Valid: time=  6.4s loss=1.432, TAw acc= 90.0% | *
| Epoch  20, time= 11.9s | Train: skip eval | Valid: time=  6.2s loss=1.435, TAw acc= 90.2% |
| Epoch  21, time= 12.0s | Train: skip eval | Valid: time=  6.2s loss=1.421, TAw acc= 90.9% | *
