Files already downloaded and verified
Files already downloaded and verified
[(0, 17), (1, 17), (2, 17), (3, 17), (4, 16), (5, 16)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch  38, time= 12.1s | Train: skip eval | Valid: time=  6.3s loss=15.699, TAw acc= 60.1% |
| Epoch  39, time= 12.0s | Train: skip eval | Valid: time=  6.4s loss=15.700, TAw acc= 61.5% |
| Epoch  40, time= 12.1s | Train: skip eval | Valid: time=  6.3s loss=15.708, TAw acc= 62.0% | lr=3.7e-03
| Epoch  41, time= 12.1s | Train: skip eval | Valid: time=  6.3s loss=15.693, TAw acc= 60.6% |
| Epoch  42, time= 12.1s | Train: skip eval | Valid: time=  6.3s loss=15.673, TAw acc= 61.6% |
| Epoch  43, time= 12.1s | Train: skip eval | Valid: time=  6.3s loss=15.679, TAw acc= 61.1% |
| Epoch  44, time= 12.1s | Train: skip eval | Valid: time=  6.3s loss=15.699, TAw acc= 60.9% |
| Epoch  45, time= 12.1s | Train: skip eval | Valid: time=  6.3s loss=15.687, TAw acc= 60.8% | lr=1.2e-03
| Epoch  46, time= 12.1s | Train: skip eval | Valid: time=  6.3s loss=15.682, TAw acc= 61.1% |
| Epoch  47, time= 12.1s | Train: skip eval | Valid: time=  6.3s loss=15.682, TAw acc= 61.2% |
| Epoch  48, time= 12.1s | Train: skip eval | Valid: time=  6.3s loss=15.674, TAw acc= 61.3% |
| Epoch  49, time= 12.1s | Train: skip eval | Valid: time=  6.3s loss=15.677, TAw acc= 60.8% |
| Epoch  50, time= 12.1s | Train: skip eval | Valid: time=  6.3s loss=15.675, TAw acc= 60.9% | lr=4.1e-04
| Epoch  51, time= 12.1s | Train: skip eval | Valid: time=  6.3s loss=15.692, TAw acc= 60.9% |
| Epoch  52, time= 12.1s | Train: skip eval | Valid: time=  6.3s loss=15.688, TAw acc= 61.3% |
| Epoch  53, time= 12.0s | Train: skip eval | Valid: time=  6.3s loss=15.689, TAw acc= 61.3% |
| Epoch  54, time= 12.1s | Train: skip eval | Valid: time=  6.4s loss=15.699, TAw acc= 61.2% |
| Epoch  55, time= 12.1s | Train: skip eval | Valid: time=  6.3s loss=15.671, TAw acc= 61.9% | *
