Files already downloaded and verified
Files already downloaded and verified
[(0, 13), (1, 13), (2, 13), (3, 13), (4, 12), (5, 12), (6, 12), (7, 12)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch  18, time=  9.3s | Train: skip eval | Valid: time=  6.1s loss=6.946, TAw acc= 69.5% | *
| Epoch  19, time=  9.2s | Train: skip eval | Valid: time=  6.1s loss=7.224, TAw acc= 66.0% |
| Epoch  20, time=  9.3s | Train: skip eval | Valid: time=  6.1s loss=7.182, TAw acc= 68.5% |
| Epoch  21, time=  9.3s | Train: skip eval | Valid: time=  6.3s loss=7.104, TAw acc= 66.8% |
| Epoch  22, time=  9.3s | Train: skip eval | Valid: time=  6.1s loss=6.991, TAw acc= 69.2% |
| Epoch  23, time=  9.3s | Train: skip eval | Valid: time=  6.1s loss=6.835, TAw acc= 68.0% | *
| Epoch  24, time=  9.3s | Train: skip eval | Valid: time=  6.1s loss=6.980, TAw acc= 69.2% |
| Epoch  25, time=  9.3s | Train: skip eval | Valid: time=  6.1s loss=6.909, TAw acc= 68.5% |
| Epoch  26, time=  9.4s | Train: skip eval | Valid: time=  6.1s loss=7.059, TAw acc= 66.3% |
| Epoch  27, time=  9.3s | Train: skip eval | Valid: time=  6.1s loss=6.885, TAw acc= 69.4% |
| Epoch  28, time=  9.3s | Train: skip eval | Valid: time=  6.1s loss=6.944, TAw acc= 69.1% | lr=3.3e-02
| Epoch  29, time=  9.2s | Train: skip eval | Valid: time=  6.1s loss=6.606, TAw acc= 73.4% | *
| Epoch  30, time=  9.3s | Train: skip eval | Valid: time=  6.1s loss=6.651, TAw acc= 71.5% |
| Epoch  31, time=  9.3s | Train: skip eval | Valid: time=  6.1s loss=6.679, TAw acc= 71.8% |
| Epoch  32, time=  9.3s | Train: skip eval | Valid: time=  6.1s loss=6.653, TAw acc= 70.5% |
| Epoch  33, time=  9.3s | Train: skip eval | Valid: time=  6.1s loss=6.690, TAw acc= 71.2% |
| Epoch  34, time=  9.3s | Train: skip eval | Valid: time=  6.1s loss=6.672, TAw acc= 71.8% | lr=1.1e-02
| Epoch  35, time=  9.3s | Train: skip eval | Valid: time=  6.1s loss=6.608, TAw acc= 71.8% |
| Epoch  36, time=  9.3s | Train: skip eval | Valid: time=  6.1s loss=6.616, TAw acc= 71.8% |
| Epoch  37, time=  9.3s | Train: skip eval | Valid: time=  6.1s loss=6.616, TAw acc= 71.5% |
| Epoch  38, time=  9.3s | Train: skip eval | Valid: time=  6.1s loss=6.608, TAw acc= 71.4% |
| Epoch  39, time=  9.3s | Train: skip eval | Valid: time=  6.1s loss=6.629, TAw acc= 71.8% | lr=3.7e-03
| Epoch  40, time=  9.3s | Train: skip eval | Valid: time=  6.1s loss=6.609, TAw acc= 72.5% |
| Epoch  41, time=  9.3s | Train: skip eval | Valid: time=  6.1s loss=6.604, TAw acc= 72.2% | *
| Epoch  42, time=  9.3s | Train: skip eval | Valid: time=  6.2s loss=6.592, TAw acc= 72.3% | *
| Epoch  43, time=  9.3s | Train: skip eval | Valid: time=  6.1s loss=6.591, TAw acc= 72.6% | *
| Epoch  44, time=  9.3s | Train: skip eval | Valid: time=  6.1s loss=6.598, TAw acc= 72.8% |
| Epoch  45, time=  9.3s | Train: skip eval | Valid: time=  6.1s loss=6.589, TAw acc= 72.8% | *
| Epoch  46, time=  9.4s | Train: skip eval | Valid: time=  6.1s loss=6.583, TAw acc= 72.0% | *
| Epoch  47, time=  9.3s | Train: skip eval | Valid: time=  6.1s loss=6.595, TAw acc= 73.5% |
| Epoch  48, time=  9.3s | Train: skip eval | Valid: time=  6.1s loss=6.594, TAw acc= 72.2% |
| Epoch  49, time=  9.3s | Train: skip eval | Valid: time=  6.1s loss=6.584, TAw acc= 72.0% |
| Epoch  50, time=  9.3s | Train: skip eval | Valid: time=  6.1s loss=6.578, TAw acc= 72.8% | *
| Epoch  51, time=  9.3s | Train: skip eval | Valid: time=  6.1s loss=6.592, TAw acc= 72.5% |
| Epoch  52, time=  9.3s | Train: skip eval | Valid: time=  6.1s loss=6.599, TAw acc= 72.2% |
| Epoch  53, time=  9.3s | Train: skip eval | Valid: time=  6.1s loss=6.598, TAw acc= 71.8% |
| Epoch  54, time=  9.3s | Train: skip eval | Valid: time=  6.1s loss=6.570, TAw acc= 73.5% | *
| Epoch  55, time=  9.3s | Train: skip eval | Valid: time=  6.1s loss=6.588, TAw acc= 72.2% |
