Files already downloaded and verified
Files already downloaded and verified
[(0, 20), (1, 20), (2, 20), (3, 20), (4, 20)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch  43, time= 11.4s | Train: skip eval | Valid: time=  6.2s loss=9.895, TAw acc= 64.4% | *
| Epoch  44, time= 11.4s | Train: skip eval | Valid: time=  6.2s loss=9.899, TAw acc= 64.5% |
| Epoch  45, time= 11.4s | Train: skip eval | Valid: time=  6.4s loss=9.914, TAw acc= 64.8% |
| Epoch  46, time= 11.4s | Train: skip eval | Valid: time=  6.2s loss=9.916, TAw acc= 64.9% |
| Epoch  47, time= 11.3s | Train: skip eval | Valid: time=  6.2s loss=9.930, TAw acc= 64.7% |
| Epoch  48, time= 11.4s | Train: skip eval | Valid: time=  6.2s loss=9.917, TAw acc= 64.8% | lr=1.2e-03
| Epoch  49, time= 11.4s | Train: skip eval | Valid: time=  6.2s loss=9.918, TAw acc= 64.9% |
| Epoch  50, time= 11.4s | Train: skip eval | Valid: time=  6.3s loss=9.885, TAw acc= 64.7% | *
| Epoch  51, time= 11.3s | Train: skip eval | Valid: time=  6.2s loss=9.908, TAw acc= 65.2% |
| Epoch  52, time= 11.4s | Train: skip eval | Valid: time=  6.2s loss=9.885, TAw acc= 64.8% | *
| Epoch  53, time= 11.3s | Train: skip eval | Valid: time=  6.2s loss=9.898, TAw acc= 64.5% |
| Epoch  54, time= 11.4s | Train: skip eval | Valid: time=  6.2s loss=9.895, TAw acc= 65.1% |
| Epoch  55, time= 11.5s | Train: skip eval | Valid: time=  6.3s loss=9.901, TAw acc= 65.0% |
| Epoch  56, time= 11.4s | Train: skip eval | Valid: time=  6.2s loss=9.905, TAw acc= 65.2% |
| Epoch  57, time= 11.6s | Train: skip eval | Valid: time=  6.2s loss=9.903, TAw acc= 65.1% | lr=4.1e-04
| Epoch  58, time= 11.3s | Train: skip eval | Valid: time=  6.2s loss=9.913, TAw acc= 64.8% |
| Epoch  59, time= 11.4s | Train: skip eval | Valid: time=  6.2s loss=9.915, TAw acc= 64.7% |
| Epoch  60, time= 11.4s | Train: skip eval | Valid: time=  6.2s loss=9.904, TAw acc= 64.0% |
| Epoch  61, time= 11.4s | Train: skip eval | Valid: time=  6.2s loss=9.938, TAw acc= 64.7% |
| Epoch  62, time= 11.4s | Train: skip eval | Valid: time=  6.2s loss=9.917, TAw acc= 64.4% | lr=1.4e-04
| Epoch  63, time= 11.5s | Train: skip eval | Valid: time=  6.2s loss=9.914, TAw acc= 64.0% |
| Epoch  64, time= 11.4s | Train: skip eval | Valid: time=  6.2s loss=9.912, TAw acc= 64.4% |
| Epoch  65, time= 11.4s | Train: skip eval | Valid: time=  6.2s loss=9.912, TAw acc= 64.6% |
| Epoch  66, time= 11.3s | Train: skip eval | Valid: time=  6.2s loss=9.909, TAw acc= 64.7% |
| Epoch  67, time= 11.4s | Train: skip eval | Valid: time=  6.2s loss=9.897, TAw acc= 64.7% | lr=4.6e-05
| Selected 4000 train exemplars, time=  0.3s
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=2.349 | TAw acc= 57.1%, forg= -1.0%| TAg acc= 49.0%, forg=  7.1% <<<
>>> Test on task  1 : loss=9.928 | TAw acc= 63.7%, forg=  0.0%| TAg acc= 52.4%, forg=  0.0% <<<
Save at C:\Users\Erik\Desktop\hopp\cifar100_icarl
************************************************************************************************************
Task  2
************************************************************************************************************
| Epoch   1, time= 13.1s | Train: skip eval | Valid: time=  6.2s loss=901.127, TAw acc=  5.1% | *
